Punto Venta,Fecha Venta,Producto,Clave Gen‚rica,Clave SAT,UM SAT,Descripcion Producto,Cantidad,Importe,Costo,Importe Costo
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,32,186.24,1.6093,51.4976
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,25,145.5,1.6093,40.2325
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,77,401.2,1.6093,123.9161
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,26,109.07,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,19/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,19,110.58,1.6093,30.5767
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,25,145.5,1.6093,40.2325
K945 - LUCIO COLLINS DE LA ROSA,26/09/2022,C212 MAN,FC0003,53131607,GRM,BASE NUMBER MAN DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,C212 MEN HEROES,FC0579,53131607,GRM,BASE FOREVER YOUNG SKATER DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,24,139.68,1.6093,38.6232
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,05/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,17,98.94,1.6093,27.3581
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,24,139.68,1.6093,38.6232
K945 - LUCIO COLLINS DE LA ROSA,04/09/2022,C212 SEXY MAN,FC0005,53131607,GRM,BASE SEXY MAN DE  FRAICHE,14,81.48,1.6093,22.5302
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,50,291,1.6093,80.465
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,22/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,C212 VIP BLACK,FC0535,53131607,GRM,CVIP BLACK CAROLINA HERRERA,21,72.93,1.6093,33.7953
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,C212 VIP BLACK RED,FC0556,53131607,GRM,BASE VIP RED MAN DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,C212 VIP BLACK RED,FC0556,53131607,GRM,BASE VIP RED MAN DE FRAICHE,4,13.9,1.6093,6.4372
K945 - LUCIO COLLINS DE LA ROSA,07/09/2022,C212 VIP BLACK RED,FC0556,53131607,GRM,BASE VIP RED MAN DE FRAICHE,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,C212 VIP CLUB EDIT,FC0455,53131607,GRM,BASE VIP CLUB MAN DE FRAICHE,26,151.32,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,C212 VIP MAN,FC0396,53131607,GRM,BASE IMPORTAN MAN DE FRAICHE,8,46.56,1.6093,12.8744
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,C212 VIP MAN,FC0396,53131607,GRM,BASE IMPORTAN MAN DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,16/09/2022,C212 VIP MAN,FC0396,53131607,GRM,BASE IMPORTAN MAN DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,C212 VIP MAN,FC0396,53131607,GRM,BASE IMPORTAN MAN DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,C315 CARLO CORINTO,FC0471,53131607,GRM,BASE CARLO DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,40,138.92,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,16/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,60,208.38,1.6093,96.558
K945 - LUCIO COLLINS DE LA ROSA,20/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,7,36.05,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,26/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,80,465.6,1.6093,128.744
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,22,128.04,1.6093,35.4046
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,84,488.87,1.6093,135.1812
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,60,208.38,1.6093,96.558
K945 - LUCIO COLLINS DE LA ROSA,04/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,C360,FC0008,53131607,GRM,BASE FRAGRANCE DE FRAICHE,20,116.4,1.6093,32.186
